"Keyword"	"Fingermarks"
"SIMS"	1
"SIMULATED DATA"	1
"SIMULATED FINGERMARKS"	1
"SIMULTANEOUS FUMING"	1
"SIMULTANEOUS LATENT IMPRESSION"	1
"SINGLE-METAL DEPOSITION"	1
"SINGLE METAL DEPOSITION"	1
"SINGLE NUCLEOTIDE POLYMORPHISM (SNP)"	1
"SINGULAR POINTS"	1
"SIO2@Y2O3:EU3+"	1
"SKETCH-TO-PHOTO MATCHING"	1
"SKIN"	4
"SKIN CHARACTERISTICS"	1
"SKIN DEFORMATION"	1
"SKIN DISTORTION MODEL"	1
"SKIN ELASTICITY"	1
"SKIN MICROSTRUCTURE"	1
"SKIN REFLECTANCE"	1
"SKIN SURFACE LIPIDS"	2
"SKIN TOXICITY"	1
"SLOUGHER"	1
"SMALL AND UNIFORM PARTICLE SIZES"	1
"SMALL MOLECULES"	1
"SMALL PARTICLE REAGENT"	12
"SMARTPHONE"	1
"SMD"	1
"SMOKERS"	1
"SMOOTHNESS"	1
"SNOWFLAKE SYNDROME"	1
"SODIUM ACETATE"	1
"SODIUM CARBONATE"	1
"SODIUM CHLORIDE"	1
"SODIUM HYDROXIDE"	1
"SOL-GEL"	1
"SOLE"	1
"SOLID-LIQUID MIXING"	1
"SOLID-PHASE MICROEXTRACTION (SPME)"	2
"SOLID-STATE ACQUISITION"	1
"SOLID-STATE FLUORESCENCE"	2
"SOLID-STATE POLYMERIZATION"	2
"SOLID FLUORESCENT CARBON DOTS"	1
"SOLID STATE LIGHTING"	3
"SOLID STATE LIGHTNING"	1
"SOLID STATE LUMINESCENCE"	1
"SOLSTICE® PF"	1
"SOLUTION COMBUSTION"	5
"SOLUTION COMBUSTION ROUTE"	1
"SOLVENT-FREE"	1
"SOLVENT BLACK 3"	2
"SOLVOTHERMAL"	2
"SOLVOTHERMAL SYNTHESIS"	3
"SONOCHEMICAL METHOD"	1
"SONOCHEMICAL ROUTE"	1
"SONOCHEMICAL SYNTHESIS"	2
"SONOCHEMISTRY"	1
"SOOT REMOVAL"	2
"SOURCE"	1
"SOURCE ATTRIBUTION"	2
"SOUTH INDIAN POPULATION"	2
"SPAIN"	1
"SPANISH"	1
"SPANISH CAUCASIAN POPULATION"	2
"SPANISH POPULATION"	3
"SPARSE CODING"	1
"SPARSE REPRESENTATION"	1
"SPATIAL ANALYSIS"	1
"SPATIAL CONTROL"	1
"SPATIAL RELATIONSHIP"	1
"SPEARMAN CORRELATION"	1
"SPECIFIC DETECTION"	1
"SPECIFIC RECOGNITION"	1
"SPECIFICITY"	2
"SPECTRA"	2
"SPECTRAL ENHANCEMENT"	1
"SPECTRAL LIBRARY SEARCHING"	1
"SPECTRAL SENSITIVITY"	1
"SPECTROCHEMICAL ANALYSIS"	1
"SPECTROMETRY"	1
"SPECTROSCOPIC IMAGING"	2
"SPECTROSCOPY"	9
"SPERMATOZOA"	1
"SPHERULITE FORMATION"	1
"SPIRULINA"	1
"SPONTANEOUS REDUCTION"	1
"SPOOF ATTACK"	3
"SPOOF DETECTION"	1
"SPOOFING"	2
"SPORTS DRUG TESTING"	1
"SPRAY-COAT"	1
"SPUTTER COATING"	1
"SPUTTERING"	1
"SQUALENE"	8
"STABILITY"	2
"STABLE ISOTOPE"	1
"STABLE MARRIAGE PROBLEM"	1
"STAGNANT WATER"	2
"STAINED CELLULAR MATERIAL"	1
"STAINING"	1
"STAMP"	1
"STANDARD"	1
"STANDARDISATION"	1
"STANDARDS FOR CONCLUSION"	1
"STATIC"	1
"STATISTICAL ANALYSIS"	1
"STATISTICAL EVIDENCE"	1
"STATISTICAL FEATURES"	1
"STATISTICAL LEARNING"	1
"STATISTICAL MODEL"	6
"STATISTICAL TEST"	1
"STATISTICS"	10
"STATURE ESTIMATION"	2
"STICKY-SIDE POWDER"	2
"STOCHASTIC EFFECTS"	1
"STONE"	1
"STR GENOTYPING"	1
"STR PROFILING"	1
"STR TYPING"	3
"STRATUM CORNEUM"	1
"STREAKINESS SCORE"	2
"STRENGTH OF EVIDENCE"	5
"STRENGTH OF EVIDENCE."	1
"STYRYL 11"	2
"SUB-POPULATION EFFECT"	1
"SUB-SAHARAN"	1
"SUBJECTIVE EVALUATION"	1
"SUBJECTIVE JUDGMENT"	1
"SUBJECTIVE PROBABILITY"	1
"SUBJECTIVE QUALITY EVALUATION"	1
"SUBJECTIVITY"	1
"SUBLIMATION"	3
"SUBLIMATION DYEING"	1
"SUBSTRATES"	3
"SUBTRACTIVE SPIN-COLUMN DNA PURIFICATION"	1
"SUDAN BLACK"	1
"SUDANESE POPULATION"	1
"SUFFICIENCY"	2
"SUFFICIENT EVIDENTIAL VALUE"	1
"SUGGESTION"	1
"SUITABILITY"	1
"SULFUR NITRIDES"	1
"SUPER-GLUE"	1
"SUPER FAST DETECTION"	1
"SUPER GLUE"	2
"SUPER RESOLUTION"	1
"SUPERFUME ®"	1
"SUPERGLUE"	4
"SUPERGLUE FUMING"	2
"SUPERPARAMAGNET"	1
"SUPERSTRUCTURES"	1
"SUPPORT"	1
"SUPPORT VECTOR MACHINE"	1
"SURFACE ANALYSIS"	1
"SURFACE CHARGE"	2
"SURFACE CHEMISTRY"	1
"SURFACE COATING"	1
"SURFACE CONDITION"	1
"SURFACE ENERGY"	2
"SURFACE ENHANCED RAMAN SCATTERING"	1
"SURFACE FUNCTIONALISATION"	1
"SURFACE INTERACTIONS"	1
"SURFACE POROSITY"	1
"SURFACE PROPERTY"	2
"SURFACE ROUGHNESS"	2
"SURFACE STRUCTURE"	1
"SURFACE TEXTURE"	1
"SURFACES"	4
"SURVIVAL RATE"	1
"SUSPENSION MATERIAL"	1
"SWEAT"	3
"SWEAT FINGERPRINTS"	1
"SWEAT INFLUENCE"	1
"SWEAT LATENT FINGERPRINTS"	1
"SWEAT PORE"	1
"SWEAT PORE MATCHING"	1
"SWEAT PORE VISUALIZATION"	1
"SWEAT PORES"	10
"SWEAT TEST"	1
"SWEDISH BLACK POWDER"	2
"SWEPT-SOURCE OCT"	1
"SWGFAST"	1
"SYBR GREEN I"	1
"SYNCHROTRON"	1
"SYNCHROTRON RADIATION X-RAY FLUORESCENCE"	1
"SYNDACTYLY"	1
"SYNTHESIS"	1
"SYNTHETIC FINGERPRINT"	1
"SYNTHETIC GENERATION"	1
"SYNTHETIC WAVELENGTH"	1
"TACTILE"	1
"TAILORED SURFACE ROUGHNESS"	1
"TAIWAN ABORIGINES"	1
"TAKAYAMA"	1
"TAMPER DETECTION"	1
"TASK-IRRELEVANT CASE INFORMATION"	1
"TATTOO MATCHING"	1
"TECHNICIANS"	1
"TECHNIQUE SEQUENCING"	1
"TECHNOLOGICAL FRAMES"	1
"TECHNOLOGY"	2
"TEMPERATURE"	1
"TEMPORAL FEATURE SPACE"	1
"TEN-PRINTS"	1
"TENPRINT"	1
"TENTED ARCH"	1
"TERBIUM"	1
"TERBIUM(III) DIPICOLINIC ACID COMPLEX"	1
"TERMINAL VELOCITY"	1
"TERMINATION POINTS"	1
"TESTIMONY"	2
"TETRAPHENYLETHENE DERIVATIVE"	1
"TEXTILE"	1
"TEXTURE TEMPLATE"	1
"TFRC"	1
"TGF"	1
"TH01 FGA"	2
"THALASSEMIA"	1
"THE LATENT FINGERPRINTS IDENTIFICATION"	1
"THEMATIC ANALYSIS"	1
"THERMAL-DEGRADATION"	1
"THERMAL ANALYSIS"	1
"THERMAL DEGRADATION"	1
"THERMAL DEVELOPMENT"	4
"THERMAL EVAPORATION"	1
"THERMAL NEUTRONS"	1
"THERMAL PAPER"	15
"THERMAL PAPERS"	1
"THERMAL SENSOR"	1
"THERMANIN"	1
"THERMOGRAVIMETRY"	1
"THERMOLUMINESCENCE"	2
"THERMOMETRY"	1
"THICKNESS"	1
"THIN-FILM DEPOSITION"	1
"THIN FILM"	1
"THIN FILMS"	1
"THIN LAYER CHROMATOGRAPHY (TLC)"	1
"THINNING"	1
"THIOHEMIKETALS"	1
"THIOL PROBE"	1
"THIOLATED MOLECULES"	1
"THIRD-LEVEL DETAILS"	1
"THIRD LEVEL"	1
"THIRD LEVEL DETAIL"	1
"THO"	1
"THREE DIMENSIONAL IMAGING"	1
"THUMBPRINT RIDGE DENSITY"	1
"THUMBPRINTS"	1
"TIME-OF-FLIGHT MASS SPECTROMETRY"	1
"TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)"	1
"TIME-RESOLVED"	1
"TIME-RESOLVED METHOD"	1
"TIME-RESOLVED SPECTROSCOPY"	4
"TIME CORRELATED SINGLE PHOTON COUNTING (TCSPC)"	1
"TIO2 NANOPARTICLES"	1
"TIO2 SPR"	1
"TIRE PRINTS"	1
"TITAMIUM DIOXIDE"	1
"TITANIUM DIOXIDE"	6
"TONERS"	2
"TOOLMARKS"	7
"TOPOCHEMICAL POLYMERIZATION"	2
"TOPOLOGY"	1
"TOTAL RIDGE COUNT"	1
"TOUCH CHEMISTRY"	1
"TOUCH DNA"	11
"TOUCH SCREEN"	1
"TOUCH TRACES"	2
"TOXICITY"	1
"TOXICOLOGY"	1
"TPD-MS"	1
"TPOX"	1
"TRACE"	3
"TRACE DETECTION"	1
"TRACE DNA"	5
"TRACE EVIDENCE"	6
"TRACE METAL DETECTION"	1
"TRAINING"	1
"TRANSESTERIFICATION"	1
"TRANSFER"	2
"TRANSMISSION ELECTRON MICROSCOPY (TEM)"	1
"TRANSPARENT FOIL"	1
"TRIACETONE TRIPEROXIDE (TATP)"	1
"TRIACYLGLYCEROLS"	1
"TRIAGE"	1
"TRIANGULAR HULL"	1
"TRIBOELECTRIC NANOGENERATOR"	1
"TRIDEUTEROMETHYL 2-CYANOACRYLATE"	1
"TRIGGER"	1
"TRIGLYCERIDES"	2
"TRIPLE"	1
"TRIPLET"	1
"TRYPTOPHAN"	1
"TRYPTOPHAN DERIVATIVES"	1
"TUNABLE COLOR"	1
"TUNABLE LASER"	2
"TUNED EMISSION"	1
"TURKISH POPULATION"	1
"TURMERIC"	1
"TURMERIC POWDER"	1
"TWINS"	1
"TWO-DIMENSIONAL LASER SCANNING SYSTEM"	1
"TWO-DIMENSIONAL MAPPING"	1
"ULNAR LOOP"	1
"ULTRA-SONICATION"	1
"ULTRA VIOLET"	1
"ULTRAMARINE BLUE"	1
"ULTRASONICATION"	4
"ULTRASONICATION SYNTHESIS"	1
"ULTRASOUND SYNTHESIS"	1
"ULTRAVIOLET"	3
"ULTRAVIOLET-VISIBLE SPECTROSCOPY"	1
"ULTRAVIOLET EXCITATION"	1
"ULTRAVIOLET FLUORESCENCE"	1
"ULTRAVIOLET LIGHT"	1
"ULTRAVIOLET LIGHT/INFRARED PHOTOGRAPHY"	1
"ULTRAVIOLET MULTISPECTRAL IMAGING"	1
"ULTRAVIOLET PHOTOGRAPHY"	1
"ULTRAVIOLET RADIATION (UVA)"	1
"ULTRAVIOLET RAYS"	1
"UNCONVENTIONAL FINGERPRINTS"	1
"UNDERWATER CRIMES"	1
"UNIFORM LOCAL BINARY PATTERN (ULBP)"	1
"UNIQUE"	1
"UNIQUENESS"	5
"UNIVARIATE COMPARISON"	1
"UNIVERSAL AND HIGH RESOLUTION"	1
"UNKNOWN BODY"	1
"UNSAFE RULINGS"	1
"UNTREATED LATENT FINGERPRINTS/PALM PRINTS ON WALLS"	1
"UNUSUAL SURFACES"	1
"UP-CONVERSION"	1
"UP-CONVERTERS"	2
"UPCONVERSION"	6
"UPCONVERSION EMISSION"	1
"UPCONVERSION NANOROD"	1
"UREA NITRATE"	1
"USER-CENTERED"	1
"UV"	1
"UV-VIS SPECTROSCOPE"	2
"UV INDUCED FLUORESCENCE"	1
"UV INTENSIFIER TUBES"	1
"VACUUM"	1
"VACUUM CAPTURE"	1
"VACUUM METAL DEPOSITION"	14
"VACUUM METAL DEPOSITION (VMD)"	4
"VALIDATION"	3
"VALIDATION REPORT"	2
"VALIDITY"	2
"VALINE"	1
"VALUE OF INFORMATION"	1
"VAPOR-PHASE STAINING"	1
"VAPOR PHASE POLYMERIZATION"	1
"VAPORIZATION"	1
"VARIABILITY"	2
"VARIOUS SUBSTRATES"	1
"VEGETABLES"	1
"VEHICLE"	1
"VERBAL SCALE"	1
"VERIFICATION"	3
"VERIFICATION."	1
"VIDEO SURVEILLANCE"	2
"VIRTOPSY"	1
"VIRTUAL AUTOPSY"	1
"VISIBLE COLOR"	1
"VISUAL DETECTION"	1
"VISUAL IDENTIFICATION"	1
"VISUALISATION COLLABORATIVE EXERCISE"	1
"VISUALIZATION"	17
"VISUALIZATION ENHANCEMENT"	1
"VOLTAMMETRY"	1
"VOLUME CRIME"	1
"VWA"	3
"WATER CONTENT"	2
"WATER IMMERSION"	1
"WATER RINSE"	1
"WATER SUBMERGED SURFACES"	2
"WAX ESTERS"	2
"WEAPON"	2
"WEB"	1
"WEIGHT OF EVIDENCE"	5
"WELL-BEING"	1
"WET POWDER SUSPENSIONS"	1
"WET POWDERING METHOD"	1
"WET SURFACES"	1
"WETWOP"	1
"WETWOPÔ"	1
"WHITE LIGHT"	1
"WHITE LIGHT EMITTING DIODES"	1
"WHITENING"	2
"WHORL"	3
"WHORLS"	1
"WIENER FILTER"	1
"WILDLIFE"	1
"WILDLIFE CRIME"	1
"WILLIAM J HIRSCHEL"	1
"WILMS TUMOUR"	1
"WIPE-TEST"	1
"WIRELESS NETWORKS"	1
"WITHIN-VARIABILITY"	1
"WORK-BASED LEARNING"	1
"WORK HARDENING"	1
"WORK REDESIGN"	1
"WORKPLACE STRESS"	1
"WOUND DOCUMENTATION"	1
"WOUND MORPHOLOGY"	1
"WRITING INKS"	1
"X-RAY"	1
"X-RAY DIFFRACTION (XRD)"	1
"X-RAY DIFFRACTOMETER"	1
"X-RAY FLUORESCENCE (XRF)"	2
"X-RAY PHOTOELECTRON SPECTROSCOPY"	1
"X-RAY PHOTOELECTRON SPECTROSCOPY (XPS)"	1
"XEROGEL"	1
"XPS"	1
"XRD"	2
"YB/ER"	1
"YB/TM"	1
"YVO4: BI3+"	1
"YVO4:ER,YB"	1
"ZAR-PRO"	1
"ZENATA"	1
"ZINC"	3
"ZINC CHLORIDE"	2
"ZINC DEPOSITION"	3
"ZINC OXIDE"	4
"ZINC SULPHIDE"	1
"ZINC TONING"	1
"ZIP-LOCK POLYETHYLENE BAGS"	1
"ZN2TIO4:DY3+"	1
"ZN2TIO4:SM3+"	1
"ZRO2/CUO NANOCOMPOSITE OXIDES"	1
