TitleAbrevated	Fulltitle
J. RANGE MANAGE.	JOURNAL OF RANGE MANAGEMENT
J. REAL ESTATE FINANC. ECON.	JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS
J. RISK UNCERTAINTY	JOURNAL OF RISK AND UNCERTAINTY
J. RURAL STUD.	JOURNAL OF RURAL STUDIES
J. SERV. RES.	JOURNAL OF SERVICE RESEARCH
J. SICHUAN FOR. SCI. TECHNOL.	JOURNAL OF SICHUAN FORESTRY SCIENCE AND TECHNOLOGY
J. SOC. ISSUES	JOURNAL OF SOCIAL ISSUES
J. SOIL WATER CONSERV.	JOURNAL OF SOIL AND WATER CONSERVATION
J. SOILS SEDIMENTS	JOURNAL OF SOILS AND SEDIMENTS
J. SOIL SCI.	JOURNAL OF SOIL SCIENCE
J. SPORTS SCI.	JOURNAL OF SPORTS SCIENCES
J. STAT. COMPUT. SIMUL.	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION
J. STAT. PHYS.	JOURNAL OF STATISTICAL PHYSICS
J. STAT. PLAN. INFERENCE	JOURNAL OF STATISTICAL PLANNING AND INFERENCE
J. STEROID BIOCHEM. MOL. BIOL.	JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY
J. SUSTAINABLE AGRIC.	JOURNAL OF SUSTAINABLE AGRICULTURE
J. SUSTAINABLE FOR.	JOURNAL OF SUSTAINABLE FORESTRY
J. SUSTAINABLE TOUR.	JOURNAL OF SUSTAINABLE TOURISM
J. TERRAMECH.	JOURNAL OF TERRAMECHANICS
J. AIR WASTE MANAGE. ASSOC.	JOURNAL OF THE AIR AND WASTE MANAGEMENT ASSOCIATION
J. AIR POLLUT. CONTROL ASSOC.	JOURNAL OF THE AIR POLLUTION CONTROL ASSOCIATION
J. AM. PLAN. ASSOC.	JOURNAL OF THE AMERICAN PLANNING ASSOCIATION
J. AM. SOC. HORTIC. SCI.	JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE
J. AM. STAT. ASSOC.	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
J. AM. WATER RESOUR. ASSOC.	JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION
J. ATMOS. SCI.	JOURNAL OF THE ATMOSPHERIC SCIENCES
J. BR. GRASSL. SOC.	JOURNAL OF THE BRITISH GRASSLAND SOCIETY
J. BR. WATERWORKS ASSOC.	JOURNAL OF THE BRITISH WATERWORKS ASSOCIATION
J. FAC. AGRIC., SHINSHU UNIV.	JOURNAL OF THE FACULTY OF AGRICULTURE, SHINSHU UNIVERSITY
J. FAC. SCI. HOKKAIDO UNIV.	JOURNAL OF THE FACULTY OF SCIENCE, HOKKAIDO UNIVERSITY
J. HATTORI BOT. LAB.	JOURNAL OF THE HATTORI BOTANICAL LABORATORY
J. KANS. ENTOMOL. SOC.	JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY
J. NORTH AM. BENTHOLOGICAL SOC.	JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY
J. OPT. SOC. AM.	JOURNAL OF THE OPTICAL SOCIETY OF AMERICA
J. THEORET. BIOL.	JOURNAL OF THEORETICAL BIOLOGY
J. R. STAT. SOC.	JOURNAL OF THE ROYAL STATISTICAL SOCIETY
J. RUSSELL SOC.	JOURNAL OF THE RUSSELL SOCIETY
J. SCI. FOOD AGRIC.	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE
J. TIME SER. ANAL.	JOURNAL OF TIME SERIES ANALYSIS
J. TOUR. STUD.	JOURNAL OF TOURISM STUDIES
J. TRACE ELEM. MED. BIOL.	JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY
J. TRAVEL RES.	JOURNAL OF TRAVEL RESEARCH
J. TROP. ECOL.	JOURNAL OF TROPICAL ECOLOGY
J. TROP. FOR. SCI.	JOURNAL OF TROPICAL FOREST SCIENCE
J. TROP. GEOGR.	JOURNAL OF TROPICAL GEOGRAPHY
J. URBAN TECHNOL.	JOURNAL OF URBAN TECHNOLOGY
J. VEG. SCI.	JOURNAL OF VEGETATION SCIENCE
J. VOLCANOL. GEOTHERM. RES.	JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH
J. WILDL. DIS.	JOURNAL OF WILDLIFE DISEASES
J. WILDL. MANAGE.	JOURNAL OF WILDLIFE MANAGEMENT
J. WILDL. RES.	JOURNAL OF WILDLIFE RESEARCH
J. WIND ENG. IND. AERODYN.	JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS
J. ZOOL. (LONDON)	JOURNAL OF ZOOLOGY
J. SUISSE BOIS	JOURNAL SUISSE DU BOIS
JOVE J. VIS. EXP.	JOVE JOURNAL OF VISUALIZED EXPERIMENTS
JRC SCI. TECH. REP.	JRC SCIENTIFIC AND TECHNICAL REPORTS
KARSTENIA	KARSTENIA
KEW BULL.	KEW BULLETIN
KLEINE SENCKENB.R.	KLEINE SENCKENBERGREIHE
KÖLN. GEOGR. ARB.	KÖLNER GEOGRAPHISCHE ARBEITEN
KOMMUNALMAG.	KOMMUNALMAGAZIN
KOMPET.-ZENT. HOLZ	KOMPETENZ-ZENTRUM HOLZ
KORA BER.	KORA BERICHT
LAND DEGRAD. DEV.	LAND DEGRADATION & DEVELOPMENT
LAND ECON.	LAND ECONOMICS
LANDESHYDROL. -GEOL., MITT.	LANDESHYDROLOGIE UND -GEOLOGIE, MITTEILUNG
LANDSC. ECOL. ENG.	LANDSCAPE AND ECOLOGICAL ENGINEERING
LANDSC. URBAN PLAN.	LANDSCAPE AND URBAN PLANNING
LANDSC. ECOL.	LANDSCAPE ECOLOGY
LANDSC. HIST.	LANDSCAPE HISTORY
LANDSC. J.	LANDSCAPE JOURNAL
LANDSC. ONLINE	LANDSCAPE ONLINE
LANDSC. PLAN.	LANDSCAPE PLANNING
LANDSC. RES.	LANDSCAPE RESEARCH
LANDSCH. AARGAU	LANDSCHAFT AARGAU
LANDSCH.ENTWICKL. UMWELTFORSCH.	LANDSCHAFTSENTWICKLUNG UND UMWELTFORSCHUNG
LANDSCH.GENES. LANDSCH.ÖKOL.	LANDSCHAFTSGENESE UND LANDSCHAFTSÖKOLOGIE
LANDSCH.ÖKOL. UMWELTFORSCH.	LANDSCHAFTSÖKOLOGIE UND UMWELTFORSCHUNG
LANDSCH.PFL. NAT.SCHUTZ THÜRING.	LANDSCHAFTSPFLEGE UND NATURSCHUTZ IN THÜRINGEN
LANDSCH.PFL. VEG.KD.	LANDSCHAFTSPFLEGE UND VEGETATIONSKUNDE
LANDSLIDES	LANDSLIDES
LAND USE POLICY	LAND USE POLICY
LANDWIRTSCH. FORSCH.	LANDWIRTSCHAFTLICHE FORSCHUNG
LANDWIRTSCH. JAHRB. SCHWEIZ	LANDWIRTSCHAFTLICHES JAHRBUCH DER SCHWEIZ
LANG. RESOUR. EVAL.	LANGUAGE RESOURCES AND EVALUATION
LAUFENER SEMIN.BEITR.	LAUFENER SEMINARBEITRÄGE
LEAFL. AGRIC. RES. ORGAN., DIV. FOR.	LEAFLET AGRICULTURAL RESEARCH ORGANIZATION, DIVISION OF FORESTRY
LECT. NOTES EARTH SCI.	LECTURE NOTES IN EARTH SCIENCES
LEIS. SCI.	LEISURE SCIENCES
LEITZ, MITT. WISS. TECH.	LEITZ, MITTEILUNGEN FÜR WISSENSCHAFT UND TECHNIK
LETT. PRO SILVA FR.	LETTRE DE PRO SILVA FRANCE
LICHENOLOGIST	LICHENOLOGIST
LIMNOLOGICA	LIMNOLOGICA
LIMNOL. AKTUELL	LIMNOLOGIE AKTUELL
LIMOSA	LIMOSA
LINDBERGIA	LINDBERGIA
LINEA ECOL.	LINEA ECOLOGICA
LINZ. BIOL. BEITR.	LINZER BIOLOGISCHE BEITRÄGE
LLOYDIA	LLOYDIA
LÖBF-MITT., LANDESANST. ÖKOL. BODENORDN. FORSTEN, LANDESAMT AGRARORDN. NORDRH.-WESTFAL.	LÖBF-MITTEILUNGEN, LANDESANSTALT FÜR ÖKOLOGIE, BODENORDNUNG UND FORSTEN / LANDESAMT FÜR AGRARORDNUNG, NORDRHEIN-WESTFALEN
LÖBF-SCHR.REIHE, LANDESANST. ÖKOL. BODENORDN. FORSTEN NORDRH.-WESTFAL.	LÖBF-SCHRIFTENREIHE, LANDESANSTALT FÜR ÖKOLOGIE, BODENORDNUNG UND FORSTEN, NORDRHEIN-WESTFALEN
LOCAL LAND SOIL NEWS	LOCAL LAND AND SOIL NEWS
LÖLF-MITT., LANDESANST. ÖKOL. LANDSCH.ENTWICKL. FORSTPLAN., NORDRH.-WESTFAL.	LÖLF-MITTEILUNGEN, LANDESANSTALT FÜR ÖKOLOGIE, LANDSCHAFTSENTWICKLUNG UND FORSTPLANUNG, NORDRHEIN-WESTFALEN
LUNDQUA REP.	LUNDQUA REPORT
MADAG. CONSERV. DEV.	MADAGASCAR CONSERVATION AND DEVELOPMENT
MALAYAN J. TROP. GEOGR.	MALAYAN JOURNAL OF TROPICAL GEOGRAPHY
MALAYAN NAT. J.	MALAYAN NATURE JOURNAL
MALAYS. FOR.	MALAYSIAN FORESTER
MAMM. BIOL.	MAMMALIAN BIOLOGY
MAMM. GENOME	MAMMALIAN GENOME
MAMMALIA	MAMMALIA
MAMM. REV.	MAMMAL REVIEW
MAPLE TECH. NEWSL.	MAPLE TECHNICAL NEWSLETTER
MATÉR. CARTE GÉOL. SUISSE	MATÉRIAUX POUR LA CARTE GÉOLOGIQUE DE LA SUISSE
MATÉR. LEVÉ GÉOBOT. SUISSE	MATÉRIAUX POUR LE LEVÉ GÉOBOTANIQUE DE LA SUISSE
MATÉR. HYDROL. SUISSE	MATÉRIAUX POUR L'HYDROLOGIE DE LA SUISSE
MATH. COMPUT. SIMUL.	MATHEMATICS AND COMPUTERS IN SIMULATION
MEAS. SCI. TECHNOL.	MEASUREMENT SCIENCE AND TECHNOLOGY
MEDD. NOR. INST. SKOGFORSK.	MEDDELELSER FRA NORSK INSTITUTT FOR SKOGFORSKNING
MEDED. LANDBOUWHOOGESCH. WAGENING.	MEDEDELINGEN VAN DE LANDBOUWHOOGESCHOOL TE WAGENINGEN
MÉM. SOC. VAUD. SCI. NAT.	MÉMOIRES DE LA SOCIÉTÉ VAUDOISE DES SCIENCES NATURELLES
MERKBL. FORSTPRAKT. EIDGENÖSS. ANST. FORSTL. VERS.WES.	MERKBLATT FÜR DEN FORSTPRAKTIKER EIDG. ANSTALT FÜR DAS FORSTLICHE VERSUCHSWESEN
MERKBL. PRAX.	MERKBLATT FÜR DIE PRAXIS
METEROL. APPL.	METEOROLOGICAL APPLICATION
METEOROL. Z.	METEOROLOGISCHE ZEITSCHRIFT
METEOROL. ATMOS. PHYS.	METEOROLOGY AND ATMOSPHERIC PHYSICS
METHODS ECOL. EVOL.	METHODS IN ECOLOGY AND EVOLUTION
MEYLANIA	MEYLANIA
MICOL. ITAL.	MICOLOGIA ITALIANA
MICROB. ENVIRON.	MICROBES AND ENVIRONMENTS
MICROB. BIOTECHNOL.	MICROBIAL BIOTECHNOLOGY
MICROB. ECOL.	MICROBIAL ECOLOGY
MICROBIOL. RES.	MICROBIOLOGICAL RESEARCH
MIKROSKOPIE	MIKROSKOPIE
MINERALOG. MAG.	MINERALOGICAL MAGAZINE
MITIGATION ADAPT. STRATEG. GLOB. CHANG.	MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE
MITT. BIOL. BUNDESANST. LAND- FORSTWIRTSCH., BERL.-DAHL.	MITTEILUNGEN AUS DER BIOLOGISCHEN BUNDESANSTALT FÜR LAND- UND FORSTWIRTSCHAFT, BERLIN-DAHLEM
MITT. NORDDTSCH. NAT.SCHUTZAKAD.	MITTEILUNGEN AUS DER NORDDEUTSCHEN NATURSCHUTZAKADEMIE (NNA)
MITT. STAATSFORSTVERWALT. BAYERNS	MITTEILUNGEN AUS DER STAATSFORSTVERWALTUNG BAYERNS
MITT. AARGAU. NAT.FORSCH. GES.	MITTEILUNGEN DER AARGAUISCHEN NATURFORSCHENDEN GESELLSCHAFT
MITT. ABT. BOT. LANDESMUS. JOANNEUM GRAZ	MITTEILUNGEN DER ABTEILUNG FÜR BOTANIK AM LANDESMUSEUM JOANNEUM IN GRAZ
MITT. ABT. FORSTL. BIOM. UNIV. FREIBG.	MITTEILUNGEN DER ABTEILUNG FÜR FORSTLICHE BIOMETRIE DER UNIVERSITÄT FREIBURG
MITT. ARB.GEM. GEOBOT. SCHLESW.-HOLST. HAMBG.	MITTEILUNGEN DER ARBEITSGEMEINSCHAFT GEOBOTANIK IN SCHLESWIG-HOLSTEIN UND HAMBURG
MITT. BUNDESFORSCH.ANST. FORST- HOLZWIRTSCH.	MITTEILUNGEN DER BUNDESFORSCHUNGSANSTALT FÜR FORST- UND HOLZWIRTSCHAFT
MITT. DTSCH. BODENKDL. GES.	MITTEILUNGEN DER DEUTSCHEN BODENKUNDLICHEN GESELLSCHAFT
MITT. DTSCH. DENDROL. GES.	MITTEILUNGEN DER DEUTSCHEN DENDROLOGISCHEN GESELLSCHAFT
MITT. DTSCH. GES. ALLG. ANGEW. ENTOMOL.	MITTEILUNGEN DER DEUTSCHEN GESELLSCHAFT FÜR ALLGEMEINE UND ANGEWANDTE ENTOMOLOGIE
MITT. DTSCH. MALAKOZOOL. GES.	MITTEILUNGEN DER DEUTSCHEN MALAKOZOOLOGISCHEN GESELLSCHAFT
MITT. EIDGENÖSS. FORSCH.ANST. WALD SCHNEE LANDSCH.	MITTEILUNGEN DER EIDG. FORSCHUNGSANSTALT FÜR WALD, SCHNEE UND LANDSCHAFT
MITT. ENTOMOL. GES. BASEL	MITTEILUNGEN DER ENTOMOLOGISCHEN GESELLSCHAFT BASEL
MITT. FLORIST.-SOZIOL. ARB.GEM.	MITTEILUNGEN DER FLORISTISCH-SOZIOLOGISCHEN ARBEITSGEMEINSCHAFT
MITT. FORSTL. BUNDES-VERS.ANST. WIEN	MITTEILUNGEN DER FORSTLICHEN BUNDES-VERSUCHSANSTALT WIEN
MITT. FORSTL. VERS.- FORSCH.ANST. BADEN-WÜRTT.	MITTEILUNGEN DER FORSTLICHEN VERSUCHS- UND FORSCHUNGSANSTALT BADEN-WÜRTTEMBERG
MITT. GEOGR.-ETHNOGR. GES. ZÜR.	MITTEILUNGEN DER GEOGRAPHISCH-ETHNOGRAPHISCHEN GESELLSCHAFT ZÜRICH
MITT. GES. BIBL.WES. DOK. LANDBAUES	MITTEILUNGEN DER GESELLSCHAFT FÜR BIBLIOTHEKSWESEN UND DOKUMENTATION DES LANDBAUES
MITT. HESS. LANDESFORSTVERWALT.	MITTEILUNGEN DER HESSISCHEN LANDESFORSTVERWALTUNG
MITT. INTERESSENGEM. AVIFAUNA DDR	MITTEILUNGEN DER INTERESSENGEMEINSCHAFT AVIFAUNA DER DDR
MITT. INT. BODENKDL. GES.	MITTEILUNGEN DER INTERNATIONALEN BODENKUNDLICHEN GESELLSCHAFT
MITT. NAT.FORSCH. GES. KANTON GLARUS	MITTEILUNGEN DER NATURFORSCHENDEN GESELLSCHAFT DES KANTONS GLARUS
MITT. NAT.FORSCH. GES. KANTON SOLOTHURN	MITTEILUNGEN DER NATURFORSCHENDEN GESELLSCHAFT DES KANTONS SOLOTHURN
MITT. NAT.FORSCH. GES. BERN	MITTEILUNGEN DER NATURFORSCHENDEN GESELLSCHAFT IN BERN
MITT. NAT.FORSCH. GES. LUZERN	MITTEILUNGEN DER NATURFORSCHENDEN GESELLSCHAFT LUZERN
MITT. NAT.FORSCH. GES. SCHAFFHAUSEN 	MITTEILUNGEN DER NATURFORSCHENDEN GESELLSCHAFT SCHAFFHAUSEN
MITT. NAT.WISS. GES. THUN	MITTEILUNGEN DER NATURWISSENSCHAFTLICHEN GESELLSCHAFT THUN
MITT. NAT.WISS. GES. WINTERTHUR	MITTEILUNGEN DER NATURWISSENSCHAFTLICHEN GESELLSCHAFT WINTERTHUR
MITT. NIEDERSÄCHS. FORSTL. VERS.ANST.	MITTEILUNGEN DER NIEDERSÄCHSISCHEN FORSTLICHEN VERSUCHSANSTALT
MITT. ÖSTERR. BODENKDL. GES.	MITTEILUNGEN DER ÖSTERREICHISCHEN BODENKUNDLICHEN GESELLSCHAFT
MITT. ÖSTERR. GEOGR. GES.	MITTEILUNGEN DER ÖSTERREICHISCHEN GEOGRAPHISCHEN GESELLSCHAFT
MITT. SCHWEIZ. ENTOMOL. GES.	MITTEILUNGEN DER SCHWEIZERISCHEN ENTOMOLOGISCHEN GESELLSCHAFT
MITT. THURGAU. NAT.FORSCH. GES.	MITTEILUNGEN DER THURGAUISCHEN NATURFORSCHENDEN GESELLSCHAFT
MITT. VERS.ANST. WASSERBAU HYDROL. GLAZIOL. EIDGENÖSS. TECH. HOCHSCH. ZÜR.	MITTEILUNGEN DER VERSUCHSANSTALT FÜR WASSERBAU, HYDROLOGIE UND GLAZIOLOGIE AN DER EIDG. TECHNISCHEN HOCHSCHULE ZÜRICH
MITT. ARB.KR. WALD WASSER	MITTEILUNGEN DES ARBEITSKREISES WALD UND WASSER
MITT. BAD. LANDESVER. NAT.KD. NAT.SCHUTZ	MITTEILUNGEN DES BADISCHEN LANDESVEREINS FÜR NATURKUNDE UND NATURSCHUTZ
MITT. EIDGENÖSS. INST. SCHNEE- LAWINENFORSCH.	MITTEILUNGEN DES EIDG. INSTITUTES FÜR SCHNEE- UND LAWINENFORSCHUNG
MITT. HIST. VER. KANTON SCHWYZ	MITTEILUNGEN DES HISTORISCHEN VEREINS DES KANTONS SCHWYZ
MITT. KURAT. WALDARB. FORSTTECH.	MITTEILUNGEN DES KURATORIUMS FÜR WALDARBEIT UND FORSTTECHNIK
MITT. VER. FORSTL. STANDORTSKD. FORSTPFLANZENZÜCHT.	MITTEILUNGEN DES VEREINS FÜR FORSTLICHE STANDORTSKUNDE UND FORSTPFLANZENZÜCHTUNG
MITT. EIDGENÖSS. ANST. FORSTL. VERS.WES.	MITTEILUNGEN EIDG. ANSTALT FÜR DAS FORSTLICHE VERSUCHSWESEN
MITT. FISCH.	MITTEILUNG ZUR FISCHEREI
MOL. ECOL. NOTES	MOLECULAR ECOLOGY NOTES
MOL. ECOL.	MOLECULAR ECOLOGY
MOL. ECOL. RESOUR.	MOLECULAR ECOLOGY RESOURCES
MOL. GENET. GENOMICS	MOLECULAR GENETICS AND GENOMICS
MOL. PHYLOGENET. EVOL.	MOLECULAR PHYLOGENETICS AND EVOLUTION
MOL. PLANT-MICROBE INTERACT.	MOLECULAR PLANT-MICROBE INTERACTIONS
MOL. SCREEN. NEWS	MOLECULAR SCREENING NEWS
MOL. SIMUL.	MOLECULAR SIMULATION
MON.SCHR. WÜRTT. FORSTWES.	MONATSSCHRIFT FÜR DAS WÜRTTEMBERGISCHE FORSTWESEN
MON.SCHR. MECKLENBG.	MONATSSCHRIFT VON UND FÜR MECKLENBURG
MONTAGNA	MONTAGNA
MON. WEATHER REV.	MONTHLY WEATHER REVIEW
MONTI BOSCHI	MONTI E BOSCHI
MT. RES. DEV.	MOUNTAIN RESEARCH AND DEVELOPMENT
MT. RES. INITIAT. NEWSL.	MOUNTAIN RESEARCH INITIATIVE NEWSLETTER
MOV. ECOL.	MOVEMENT ECOLOGY
MYCOKEYS	MYCOKEYS
MYCOL. BALC.	MYCOLOGIA BALCANICA
MYCOL. HELV.	MYCOLOGIA HELVETICA
MYCOLOGIA	MYCOLOGIA
MYCOL. PROG.	MYCOLOGICAL PROGRESS
MYCOL. RES.	MYCOLOGICAL RESEARCH
MYCORRHIZA	MYCORRHIZA
MYCOTAXON	MYCOTAXON
MYRMECOL. NEWS	MYRMECOLOGICAL NEWS
MYRMEKOL. NACHR.	MYRMEKOLOGISCHE NACHRICHTEN
NACHR.BL. BAYER. ENTOMOL.	NACHRICHTENBLATT DER BAYERISCHEN ENTOMOLOGEN
NACHR.BL. DTSCH. PFLANZENSCHUTZD.	NACHRICHTENBLATT DES DEUTSCHEN PFLANZENSCHUTZDIENSTES
NACHR. GFÖ	NACHRICHTEN DER GFÖ
NAT. GEOGR. MAG.	NATIONAL GEOGRAPHIC MAGAZINE
NATL.PARK-FORSCH. SCHWEIZ	NATIONALPARK-FORSCHUNG IN DER SCHWEIZ
NAT. AREAS J.	NATURAL AREAS JOURNAL
NAT. HAZARDS EARTH SYST. SCI.	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES
NAT. HAZARDS	NATURAL HAZARDS
NAT. HIST.	NATURAL HISTORY
NATURALISTA VALTELLINESE	NATURALISTA VALTELLINESE
NAT. CAN.	NATURALISTE CANADIEN
NAT. BELG.	NATURALISTES BELGES
NATURALIST	NATURALIST
NAT. RESOUR. MODEL.	NATURAL RESOURCE MODELING
NAT. RESOUR.	NATURAL RESOURCES
NAT. CULT.	NATURE AND CULTURE
NAT. ENVIRON.	NATURE AND ENVIRONMENT
NAT. LIFE SOUTHEAST ASIA	NATURE AND LIFE IN SOUTHEAST ASIA
NAT. RESOURCES	NATURE AND RESOURCES
NAT. BIOTECHNOL.	NATURE BIOTECHNOLOGY
NAT. CLIM. CHANG.	NATURE CLIMATE CHANGE
NAT. COMMUN.	NATURE COMMUNICATIONS
NAT. PROG.	NATURE ET PROGRÈS
NAT. GENET.	NATURE GENETICS
NAT. GEOSCI.	NATURE GEOSCIENCE
NAT. INF.	NATURE INFORMATION
NAT. PLANTS	NATURE PLANTS
NATURE	NATURE
NAT.KDL. FORSCH. FÜRST. LIECHT.	NATURKUNDLICHE FORSCHUNG IM FÜRSTENTUM LIECHTENSTEIN
NATUROPA	NATUROPA
NATURSCHUTZFORUM	NATURSCHUTZFORUM
NAT.SCHUTZ HEUTE	NATURSCHUTZ HEUTE
NAT.SCHUTZ KÄRNTEN	NATURSCHUTZ IN KÄRNTEN
NAT.SCHUTZ SACHSEN-ANHALT	NATURSCHUTZ IN SACHSEN-ANHALT
NAT.SCHUTZ LANDSCH.PFL. BRANDENBURG	NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN BRANDENBURG
NAT.SCHUTZ LANDSCH.PFL. HAMBG.	NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN HAMBURG
NAT.SCHUTZ LANDSCH.PFL. NIEDERSACHS.	NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN NIEDERSACHSEN
NAT.SCHUTZ LANDSCH.PLAN.	NATURSCHUTZ UND LANDSCHAFTSPLANUNG
NAT. HEIM.	NATUR UND HEIMAT
NAT. LANDSCH.	NATUR UND LANDSCHAFT
NAT.- LANDSCH.SCHUTZGEB. BADEN-WÜRTT.	NATUR- UND LANDSCHAFTSSCHUTZGEBIETE BADEN-WÜRTTEMBERGS
NAT. MENSCH	NATUR UND MENSCH
NAT. MUS.	NATUR UND MUSEUM
NAT. NAT.SCHUTZ MECKLENBG.	NATUR UND NATURSCHUTZ IN MECKLENBURG
NAT. NAT.SCHUTZ MECKLENBG.-VORPOMMERN	NATUR UND NATURSCHUTZ IN MECKLENBURG-VORPOMMERN
NAT. TECH.	NATUR UND TECHNIK
NATURWISSENSCHAFTEN	NATURWISSENSCHAFTEN
NAT.WISS. RUNDSCH.	NATURWISSENSCHAFTLICHE RUNDSCHAU
NEAR SURF. GEOPHYS.	NEAR SURFACE GEOPHYSICS
NED. BOSB.-TIJDSCHR.	NEDERLANDS BOSBOUW-TIJDSCHRIFT
NEMATOL. MEDITERR.	NEMATOLOGIA MEDITERRANEA
NEOTROP. ENTOMOL.	NEOTROPICAL ENTOMOLOGY
NETH. J. AGRIC. SCI.	NETHERLANDS JOURNAL OF AGRICULTURAL SCIENCE
NETH. J. ZOOL.	NETHERLANDS JOURNAL OF ZOOLOGY
NEUE GES. FRANKF. HEFTE	NEUE GESELLSCHAFT FRANKFURTER HEFTE
NEUE LANDSCH.	NEUE LANDSCHAFT
N. ARCH. NIEDERSACHS.	NEUES ARCHIV FÜR NIEDERSACHSEN
NEUE ZÜR. ZTG.	NEUE ZÜRCHER ZEITUNG
NEUJAHRSBL. LESEGES. WÄDENSWIL	NEUJAHRSBLATT DER LESEGESELLSCHAFT WÄDENSWIL
NEUJAHRSBL. NAT.FORSCH. GES. ZÜR.	NEUJAHRSBLATT DER NATURFORSCHENDEN GESELLSCHAFT IN ZÜRICH
NEUJAHRSBL. NAT.FORSCH. GES. SCHAFFHAUSEN	NEUJAHRSBLATT DER NATURFORSCHENDEN GESELLSCHAFT SCHAFFHAUSEN
NEUJAHRSBOTE GLARNER HINTERLAND	NEUJAHRSBOTE FÜR DAS GLARNER HINTERLAND
NEUROSCIENCE	NEUROSCIENCE
NEW FOR.	NEW FORESTS
NEW PHYTOL.	NEW PHYTOLOGIST
NEW SCI.	NEW SCIENTIST
NEWSL. E-GEO.CH	NEWSLETTER E-GEO.CH
NEWS FOR. HIST.	NEWS OF FOREST HISTORY
N. Z. J. BOT.	NEW ZEALAND JOURNAL OF BOTANY
N. Z. J. ECOL.	NEW ZEALAND JOURNAL OF ECOLOGY
N. Z. J. FOR. SCI.	NEW ZEALAND JOURNAL OF FORESTRY SCIENCE
N. Z. J. ZOOL.	NEW ZEALAND JOURNAL OF ZOOLOGY
N. Z. PLANT PROT.	NEW ZEALAND PLANT PROTECTION
NIEDERSÄCHS. AKAD. GEOWISS. VERÖFF.	NIEDERSÄCHSISCHE AKADEMIE DER GEOWISSENSCHAFTEN VERÖFFENTLICHUNGEN
NNA-BER.	NNA-BERICHTE
NONLINEAR PROCESS. GEOPHYS.	NONLINEAR PROCESSES IN GEOPHYSICS
NORD. HYDROL.	NORDIC HYDROLOGY
NORD. J. BOT.	NORDIC JOURNAL OF BOTANY
NORTH AM. J. FISH. MANAGE.	NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT
NORTHWEST SCI.	NORTHWEST SCIENCE
NOR. J. GEOGR.	NORWEGIAN JOURNAL OF GEOGRAPHY
NOS OISEAUX	NOS OISEAUX
NOSTRO PAESE	NOSTRO PAESE
NOTA LEPIDOPTEROL.	NOTA LEPIDOPTEROLOGICA
NOTES TECH. CENT. ÉCOL. FOR. RURAL	NOTES TECHNIQUES DU CENTRE DÉCOLOGIE FORESTIÈRE ET RURALE
NOTE TECH. GROUP. TECH. FOR.	NOTE TECHNIQUE GROUPEMENT TECHNIQUE FORESTIER
NOT. PRAT. (FRZ.)	NOTICE POUR LE PRATICIEN
NOT. PRAT. (ITAL.)	NOTIZIE PER LA PRATICA
NOT. BOT. HORTI AGROBOT. CLUJ-NAPOCA	NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA
NOT. ODONATOLOGICAE	NOTULAE ODONATOLOGICAE
NOUV. LANDESHYDROL. -GEOL.	NOUVELLES DER LANDESHYDROLOGIE UND -GEOLOGIE
NOVA HEDWIGIA	NOVA HEDWIGIA
NUCL. INSTRUM. METHODS PHYS. RES.	NUCLEAR INSTRUMENTS AND METHODS IN PHYSICS RESEARCH
NUCLEIC ACIDS RES.	NUCLEIC ACIDS RESEARCH
NUOVO G. BOT. ITAL.	NUOVO GIORNALE BOTANICO ITALIANO
NUTRI. CYCL. AGROECOSYST.	NUTRIENT CYCLING IN AGROECOSYSTEMS
NUTZHOLZVERBRAUCH SCHWEIZ	NUTZHOLZVERBRAUCH IN DER SCHWEIZ
OCEAN COAST. MANAGE.	OCEAN AND COASTAL MANAGEMENT
OCEANUS	OCEANUS
OECOLOGIA	OECOLOGIA
OEKOL. PLANT.	OEKOLOGIA PLANTARUM
OEKOL. VÖGEL	OEKOLOGIE DER VÖGEL
OESTERR. WASSER- ABFALLWIRTSCH.	OESTERREICHISCHE WASSER- UND ABFALLWIRTSCHAFT
OIKOS	OIKOS
ÖKOL. LANDBAU	ÖKOLOGIE UND LANDBAU
